"source_name","apartment_or_room_style","cost_sgd","cost_usd","minutes_from_smu","total_score","exact_listing_url","lease_fit_score","cost_score","location_score","living_arrangement_score","unit_quality_score","trust_score"
"Balestier Students' Hostel","Mini Single Room","","","30","43/73","https://www.legacy.bshostel.com/ | exact mini single room deep link not exposed on the public site","0/5","3/25","9/20","14/28","9/26","8/10"
"lyf","One of A Kind","","","","41/52","https://www.discoverasr.com/en/lyf/singapore/lyf-chinatown-singapore | exact room deep link not exposed on the public page used for extraction","0/5","0/25","5/20","12/28","16/26","8/10"
"lyf","One of A Kind Plus","","","","41/52","https://www.discoverasr.com/en/lyf/singapore/lyf-chinatown-singapore | exact room deep link not exposed on the public page used for extraction","0/5","0/25","5/20","12/28","16/26","8/10"
"lyf","One of a Kind (Studio)","","","","38/46","https://www.discoverasr.com/en/lyf/singapore/lyf-funan-singapore | exact room deep link not exposed on the public page used for extraction","0/5","0/25","6/20","8/28","16/26","8/10"
"The Assembly Place","TAP Luxe","SGD 2500","USD 1,953.12","1","78/96","https://www.theassemblyplace.com/properties/bencoolen-house/","4/5","8/25","20/20","20/28","17/26","9/10"
"60 Wilkie","TAP Luxe","SGD 2200","USD 1,718.75","12","77/96","https://www.theassemblyplace.com/properties/60-wilkie/","4/5","8/25","19/20","20/28","17/26","9/10"
"Sophia View by The Assembly Place","TAP Luxe","SGD 2450","USD 1,914.06","12","77/96","https://www.theassemblyplace.com/properties/sophia-view/","4/5","8/25","19/20","20/28","17/26","9/10"
"Cove","Master Ensuite Room","SGD 2550","USD 1,992.19","10","72/84","https://cove.sg/listings/915-cove-155-master-ensuite-room-24-niven-road","4/5","7/25","19/20","21/28","13/26","8/10"
"A Co-Living Hotel @ Veerasamy by The Assembly Place","Queen Deluxe","SGD 2750","USD 2,148.44","22","71/96","https://www.theassemblyplace.com/properties/a-co-living-hotel-veerasamy/","4/5","8/25","14/20","20/28","16/26","9/10"
"The Assembly Place","TAP Luxe","SGD 2200","USD 1,718.75","5","69/87","https://www.theassemblyplace.com/properties/140-jalan-besar/","3/5","8/25","20/20","12/28","17/26","9/10"
"Cove","Master Ensuite Room","SGD 2550","USD 1,992.19","18","69/84","https://cove.sg/listings/3114-cove-473-master-ensuite-room-ue-square-residences","4/5","7/25","16/20","21/28","13/26","8/10"
"Cove","Master Ensuite Room","SGD 2500","USD 1,953.12","18","69/84","https://cove.sg/listings/3118-cove-474-master-ensuite-room-ue-square-residences","4/5","7/25","16/20","21/28","13/26","8/10"
"Cove","Master Ensuite Room","SGD 2250","USD 1,757.81","18","69/84","https://cove.sg/listings/3106-cove-471-master-ensuite-room-regency-lodge","4/5","7/25","16/20","21/28","13/26","8/10"
"A Co-Living Hotel @ Veerasamy by The Assembly Place","Single","SGD 1870","USD 1,460.94","22","69/96","https://www.theassemblyplace.com/properties/a-co-living-hotel-veerasamy/","0/5","11/25","14/20","20/28","15/26","9/10"
"A Co-Living Hotel @ Veerasamy by The Assembly Place","Queen - Windowless","SGD 2420","USD 1,890.62","22","68/96","https://www.theassemblyplace.com/properties/a-co-living-hotel-veerasamy/","4/5","8/25","14/20","17/28","16/26","9/10"
"Keystone Farrer Park by Homestead","Standard","SGD 2145","USD 1,675.78","","61/82","https://www.thekeystone.sg/farrerpark","4/5","12/25","0/20","20/28","15/26","10/10"
"Keystone Farrer Park by Homestead","XL","SGD 2255","USD 1,761.72","","61/82","https://www.thekeystone.sg/farrerpark","4/5","12/25","0/20","20/28","15/26","10/10"
"The Assembly Place","TAP Luxe","SGD 2200","USD 1,718.75","","57/76","https://www.theassemblyplace.com/properties/3-tank-road/","4/5","8/25","0/20","20/28","16/26","9/10"
"The Assembly Place","TAP Luxe","SGD 2300","USD 1,796.88","","56/76","https://www.theassemblyplace.com/properties/the-centren/","4/5","7/25","0/20","20/28","17/26","8/10"
"Balestier Students' Hostel","Single Room","SGD 1500","USD 1,171.88","30","34/75","https://bshostel.com/ | https://www.legacy.bshostel.com/ | exact single-room deep link not exposed on the public site","0/5","3/25","9/20","13/28","4/26","5/10"
